Name,Rarity,PrimaryRoleGroup,PrimaryAttackCategory,RangeClass,Health,Damage,TotalDamage,MovementSpeed,RangeCategory,Class,EffectiveRangeTiles,RangeScore,AmmoCount,ReloadSpeedClass,ReloadSpeedScore,AttackCooldownClass,AttackCooldownScore,ProjectileSpeedClass,ProjectileSpeedScore,ProjectileWidthClass,ProjectileWidthScore,BurstDamageClass,BurstDamageScore,SustainedDPSClass,SustainedDPSScore,SuperChargeRateClass,SuperChargeRateScore,MobilityScore,EngageScore,EscapeScore,AimPrecision,PositioningImportance,DecisionComplexity,MechanicalDifficulty,SkillFloor,SkillCeiling,AreaControlScore,LaneControlScore,ObjectivePressureScore,TeamUtilityScore,SurvivabilityScore,PokePressureScore,CloseRangeThreatScore,HasThrowAttack,HasShotgunSpread,HasMeleePrimary,HasContinuousAttack,HasBounceAttack,HasDeployableCore,HasPrecisionProjectile,HasMultiProjectilePattern,HasAreaPrimary,HasDash,HasJumpOrTeleport,HasHealing,HealingType,HasStun,HasSlow,HasKnockback,HasPull,HasSilence,HasShield,HasInvisibility,HasPetOrSummon,HasPiercing,HasSplashDamage,HasWallBreak,CanZone,CanScoutBushes,SuperType,HealingGroup,SuperTypeGroup,PrimaryWinConditionGroup,ManualReviewFlag,ReleasedForCurrentDataset,SourceURL
Bo,Epic,Controller,AreaControl,Long,7600.0,3 x 1280,3840.0,Normal,Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,High,4,Normal,3,2,2,2,4,4,4,3,2,4,4,4,4,3,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,,1,1,1,0,0,0,0,1,0,1,1,1,1,Control,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Bonnie,Epic,Marksman,StandardProjectile,Long,10000.0,2240,2240.0,Slow,Long,Marksman,8.7,4,3,Slow,2,Slow,2,Fast,4,Thin,2,High,4,Medium,3,Fast,4,3,4,2,4,4,5,4,3,5,2,4,4,2,4,4,4,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,0,1,1,0,1,1,Mobility,,Mobility,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Brock,Rare,Marksman,Precision,Long,6000.0,2320,2320.0,Normal,Long,Marksman,9.0,5,3,Slow,2,Slow,2,Normal,3,Thin,2,High,4,Medium,3,Normal,3,2,2,2,4,3,3,3,3,4,3,4,3,2,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,1,1,1,Damage,,Damage,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Bull,Rare,Tank,Shotgun,Short,10600.0,5 x 880,4400.0,Fast,Normal,Tank,5.3,1,3,Normal,3,Normal,3,Normal,3,VeryWide,5,VeryHigh,5,Medium,3,Normal,3,3,4,2,3,3,3,3,2,3,2,3,3,2,4,1,5,0,1,0,0,0,0,0,1,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Buster,Mythic,Tank,AreaControl,Short,10000.0,2760,2760.0,Fast,Normal,Tank,3.0,2,3,Fast,4,Fast,4,Normal,3,Wide,4,High,4,Medium,3,Normal,3,2,3,2,2,4,4,3,2,4,3,3,4,5,5,1,5,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,1,0,1,0,0,1,0,0,1,1,Shield,,Shield,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Buzz,Mythic,Assassin,Melee,Short,10000.0,5 x 840,4200.0,Fast,Short,Assassin,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,VeryHigh,5,Medium,3,Fast,4,5,5,4,3,5,5,4,3,5,2,2,4,2,4,1,5,0,0,1,0,0,0,0,0,0,1,1,0,,1,1,1,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Byron,Mythic,Marksman,StandardProjectile,Very Long,5200.0,760,760.0,Normal,Very Long,Support,10.0,5,3,Normal,3,Normal,3,VeryFast,5,Narrow,1,Medium,3,Medium,3,Normal,3,2,1,2,5,5,5,4,3,5,3,5,4,5,2,5,1,0,0,0,0,0,0,0,0,0,0,0,1,Ally/Self,0,1,0,0,0,0,0,1,0,0,0,1,1,Healing,Ally/Self,Healing,LongRangePick,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Carl,Super Rare,DamageDealer,StandardProjectile,Long,8400.0,1480,1480.0,Normal,Long,Damage Dealer,8.3,4,1,VerySlow,1,VerySlow,1,Normal,3,Normal,3,Medium,3,High,4,Normal,3,2,2,2,4,3,4,4,3,4,2,4,3,2,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,1,Damage,,Damage,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Charlie,Mythic,Controller,Deployable,Long,7400.0,1600,1600.0,Normal,Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Normal,3,Medium,3,Medium,3,Normal,3,2,2,2,4,5,5,4,3,5,4,4,4,4,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,1,0,0,0,1,1,0,0,1,1,Control,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Chester,Legendary,DamageDealer,StandardProjectile,Normal,7600.0,3 x 1340,4020.0,Fast,Long,Damage Dealer,7.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,VeryHigh,5,Medium,3,Normal,3,2,3,2,3,4,5,4,3,5,3,3,4,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,Self,1,1,1,0,0,0,0,0,1,1,1,1,1,Utility,Self,Utility,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Chuck,Mythic,Controller,StandardProjectile,Long,9400.0,3 x 1080,3240.0,Fast,Normal,Damage Dealer,6.7,4,3,Slow,2,Slow,2,Fast,4,Normal,3,High,4,Medium,3,VeryFast,5,5,4,5,3,5,5,5,4,5,4,4,5,3,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,Mobility,,Mobility,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Clancy,Mythic,DamageDealer,Shotgun,Normal,7000.0,1400,1400.0,Normal,Long,Damage Dealer,6.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,VeryHigh,5,High,4,Fast,4,2,2,2,3,4,5,3,2,4,3,3,5,2,3,3,3,0,1,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,Damage,,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Colette,Epic,Tank,StandardProjectile,Long,7200.0,2200,2200.0,Normal,Long,Damage Dealer,8.7,4,3,Fast,4,Fast,4,Fast,4,Thin,2,High,4,Medium,3,Fast,4,3,3,3,4,4,4,3,2,4,2,4,4,2,3,4,2,0,0,0,0,0,0,0,0,0,1,0,1,Self,0,0,1,0,0,1,0,0,0,0,0,1,1,Damage,Self,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Colt,Rare,DamageDealer,MultiProjectile,Long,6200.0,6 x 720,4320.0,Normal,Long,Damage Dealer,9.0,4,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,VeryHigh,5,Normal,3,2,2,2,5,3,3,4,3,5,2,4,3,2,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,1,0,1,Damage,,Damage,HybridDamage,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Cordelius,Legendary,Controller,StandardProjectile,Normal,7000.0,2 x 1600,3200.0,Very Fast,Normal,Assassin,5.3,3,3,Fast,4,Fast,4,Fast,4,Normal,3,VeryHigh,5,Medium,3,Fast,4,5,5,5,3,5,5,5,4,5,3,3,4,2,3,3,5,0,0,0,0,0,0,0,0,0,1,0,1,Self,0,1,1,0,1,0,0,0,0,0,0,1,1,Control,Self,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Crow,Legendary,Controller,StandardProjectile,Long,6000.0,3 x 640,1920.0,Very Fast,Long,Assassin,8.7,4,3,Fast,4,Fast,4,VeryFast,5,Thin,2,Medium,3,Medium,3,Normal,3,4,3,5,4,5,5,4,3,5,3,4,3,3,2,5,2,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,1,0,0,0,0,1,0,0,0,1,1,Damage,,Damage,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Damian,Mythic,DamageDealer,AreaControl,Long,11200.0,1400,1400.0,Fast,Short,Tank,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,High,4,High,4,Normal,3,3,3,3,4,4,4,4,3,5,3,4,4,2,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,Damage,,Damage,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Darryl,Super Rare,Tank,Shotgun,Short,11000.0,10 x 480,4800.0,Fast,Normal,Tank,6.0,1,3,Normal,3,Normal,3,Normal,3,VeryWide,5,VeryHigh,5,Medium,3,Fast,4,4,4,3,3,3,3,3,3,4,2,3,3,2,4,3,5,0,1,0,0,0,0,0,1,0,1,0,0,,0,0,1,0,0,1,0,0,0,0,0,0,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Doug,Mythic,Tank,StandardProjectile,Short,10400.0,2400,2400.0,Fast,Short,Support,3.0,1,3,Fast,4,Fast,4,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,2,3,2,1,3,4,2,1,3,2,2,4,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,Ally/Self,0,0,0,0,0,0,0,0,1,0,0,1,1,Healing,Ally/Self,Healing,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Draco,Legendary,Tank,Melee,Short,11200.0,1200,1200.0,Normal,Normal,Tank,5.0,2,3,Normal,3,Normal,3,Fast,4,Wide,4,VeryHigh,5,High,4,Fast,4,3,4,3,2,4,5,3,2,4,3,2,4,3,5,2,5,0,0,1,0,0,0,0,0,0,0,0,1,Self,0,1,1,0,0,1,0,0,1,0,0,1,1,Damage,Self,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Dynamike,Super Rare,Hybrid,Thrower,Long,6000.0,2 x 1600,3200.0,Fast,Long,Artillery,7.3,4,3,Normal,3,Slow,2,Slow,2,Wide,4,VeryHigh,5,Medium,3,Fast,4,2,2,2,5,5,3,5,4,5,4,4,3,2,1,3,3,1,0,0,0,0,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,1,1,1,1,Damage,,Damage,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Edgar,Epic,Assassin,Melee,Short,7200.0,2 x 1080,2160.0,Very Fast,Short,Assassin,2.0,1,3,VeryFast,5,VeryFast,5,VeryFast,5,Thin,2,High,4,High,4,Fast,4,5,5,3,1,3,3,2,1,3,1,1,3,1,3,1,5,0,0,1,0,0,0,0,0,0,0,1,1,Self,0,1,0,0,0,1,0,0,0,0,0,0,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
El Primo,Rare,Tank,Melee,Short,13000.0,4 x 760,3040.0,Fast,Short,Tank,3.0,1,3,Fast,4,Fast,4,VeryFast,5,Normal,3,High,4,Medium,3,Fast,4,4,5,2,3,3,3,3,2,3,2,3,3,2,5,1,5,0,0,1,0,0,0,0,0,0,0,1,1,Self,0,0,1,0,0,0,0,0,0,0,1,0,1,Mobility,Self,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Emz,Epic,Controller,AreaControl,Normal,7800.0,1120,1120.0,Normal,Normal,Controller,7.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,2,4,3,2,2,3,5,4,4,2,3,2,3,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,0,1,0,1,1,AreaControl,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Eve,Mythic,Controller,Deployable,Long,6200.0,1280,1280.0,Normal,Very Long,Damage Dealer,9.0,4,3,Normal,3,Normal,3,Normal,3,Thin,2,Medium,3,Medium,3,Normal,3,3,2,3,4,4,4,3,3,4,4,4,4,3,3,4,2,0,0,0,0,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,0,1,1,0,0,1,1,Summon,,Summon,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Fang,Mythic,Assassin,Melee,Normal,9000.0,2720,2720.0,Fast,Very Long,Assassin,3.0,3,3,Normal,3,Normal,3,VeryFast,5,Normal,3,VeryHigh,5,Medium,3,Fast,4,5,5,4,4,4,5,4,3,5,2,3,5,2,4,3,5,0,0,1,0,0,0,0,0,0,1,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,1,Mobility,,Mobility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Finx,Mythic,Controller,StandardProjectile,Long,7400.0,1800,1800.0,Normal,Long,Controller,8.7,4,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,3,2,3,4,5,5,4,3,5,4,4,4,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,1,Utility,,Utility,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Frank,Epic,Tank,StandardProjectile,Normal,13600.0,2320,2320.0,Fast,Normal,Tank,6.0,2,3,Normal,3,VerySlow,1,VeryFast,5,VeryWide,5,VeryHigh,5,Medium,3,Normal,3,1,2,1,2,4,4,3,2,4,4,3,5,3,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,1,1,1,1,1,Stun,,Stun,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Gale,Epic,Controller,AreaControl,Long,8000.0,6 x 560,3360.0,Normal,Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Fast,4,2,2,3,3,4,4,3,2,4,4,4,4,4,3,3,2,0,0,0,0,0,0,0,1,1,0,1,0,,1,1,1,0,0,0,0,0,1,1,1,1,1,Control,,AreaControl,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Gene,Mythic,Controller,AreaControl,Long,7600.0,2000,2000.0,Normal,Very Long,Controller,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,5,5,3,3,5,3,4,4,5,3,4,2,0,0,0,0,0,0,0,0,1,0,0,1,Ally/Area,0,1,1,1,0,0,0,1,0,0,0,1,1,Pull,Ally/Area,Utility,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Gigi,Mythic,Controller,StandardProjectile,Normal,8200.0,1000,1000.0,Very Fast,Short,Assassin,7.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,3,3,3,3,4,5,4,3,5,4,3,4,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,Ally/Self,0,1,0,0,0,0,0,0,0,0,0,1,1,Utility,Ally/Self,Utility,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Glowy,Mythic,Controller,AreaControl,Long,,,,,,,8.7,4,3,Normal,3,Normal,3,Normal,3,Wide,4,Medium,3,Medium,3,Normal,3,2,2,2,3,4,4,3,2,4,5,4,4,3,3,4,2,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,1,0,0,1,1,AreaControl,,AreaControl,ZoneControl,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Gray,Mythic,Assassin,StandardProjectile,Long,6800.0,2320,2320.0,Normal,Long,Support,9.3,4,3,Slow,2,Slow,2,VeryFast,5,Narrow,1,High,4,Medium,3,Normal,3,4,4,4,5,5,5,5,4,5,2,4,4,5,3,4,3,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,1,1,0,0,0,0,0,0,1,1,1,Utility,,Utility,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Griff,Epic,DamageDealer,Shotgun,Normal,7200.0,9 x 560,5040.0,Normal,Long,Controller,5.0,3,3,Normal,3,Normal,3,Normal,3,Wide,4,VeryHigh,5,High,4,Normal,3,2,2,2,3,3,3,3,2,4,3,3,4,2,3,3,4,0,1,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,1,1,1,1,1,1,Damage,,Damage,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Grom,Epic,Hybrid,Thrower,Long,6000.0,2280,2280.0,Normal,Long,Artillery,7.3,4,3,Normal,3,Slow,2,Slow,2,Wide,4,VeryHigh,5,Low,2,Normal,3,2,1,2,5,5,4,5,4,5,4,4,3,2,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,1,1,1,1,1,Damage,,Damage,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Gus,Super Rare,Support,StandardProjectile,Long,6600.0,2160,2160.0,Normal,Very Long,Support,9.3,4,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,2,2,2,4,4,4,3,3,4,2,3,3,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,Ally,0,0,1,0,0,1,0,0,0,0,0,0,1,Shield,Other,Shield,TeamUtility,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Hank,Epic,Controller,StandardProjectile,Normal,10400.0,4200,4200.0,Normal,Short,Tank,7.0,2,3,Normal,3,Normal,3,Fast,4,Thin,2,High,4,Medium,3,Normal,3,2,2,2,2,4,4,3,2,4,3,3,4,2,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,1,1,0,1,1,Damage,,Damage,ZoneControl,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Jacky,Super Rare,Tank,StandardProjectile,Short,10000.0,2480,2480.0,Fast,Short,Tank,3.3,1,3,Normal,3,Fast,4,VeryFast,5,VeryWide,5,Medium,3,Medium,3,Normal,3,2,2,2,1,3,3,3,1,2,3,3,3,2,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,1,0,0,1,Control,,AreaControl,CloseRange,0,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
Jae-Yong,Mythic,Support,StandardProjectile,Normal,7400.0,1700,1700.0,Fast,Long,Support,7.0,3,3,Normal,3,Normal,3,Fast,4,Thin,2,Medium,3,Medium,3,Normal,3,3,3,3,3,5,5,4,3,5,3,3,4,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,Ally/Team,0,1,0,0,0,0,0,0,0,0,0,1,1,Buff,Other,Utility,TeamUtility,1,1,https://brawlify.com/brawlers; https://supercell.com/en/games/brawlstars/blog/release-notes/release-notes-june-2026/
